book_id,goodreads_book_id,authors,original_publication_year,title,language_code
1033,438492,"Lemony Snicket, Brett Helquist",2000.0,"The Wide Window (A Series of Unfortunate Events, #3)",eng
1034,91476,Jim Butcher,2001.0,"Grave Peril (The Dresden Files, #3)",eng
1035,10884,Walter Isaacson,2007.0,Einstein: His Life and Universe,eng
1036,15842441,S.C. Stephens,2011.0,"Effortless (Thoughtless, #2)",eng
1037,5351,John Grisham,1998.0,The Street Lawyer,eng
1038,310459,Mildred D. Taylor,1976.0,"Roll of Thunder, Hear My Cry (Logans, #4)",eng
1039,5899779,"Seth Grahame-Smith, Jane Austen",2009.0,"Pride and Prejudice and Zombies (Pride and Prejudice and Zombies, #1)",eng
1040,15790837,David Sedaris,2013.0,Let's Explore Diabetes with Owls,eng
1041,12505,"Fyodor Dostoyevsky, Constance Garnett, Alan Myers, Joseph Frank, Anna Brailovsky",1868.0,The Idiot,eng
1042,365,Douglas Adams,1987.0,Dirk Gently's Holistic Detective Agency (Dirk Gently #1),eng
1043,1809465,Jeff Kinney,2008.0,"Rodrick Rules (Diary of a Wimpy Kid, #2)",eng
1044,22716447,Mindy Kaling,2015.0,Why Not Me?,eng
1045,18126198,Veronica Roth,2014.0,"Four: A Divergent Story Collection (Divergent, #0.1 - 0.4)",eng
1046,23453112,"Aziz Ansari, Eric Klinenberg",2015.0,Modern Romance,eng
1047,11594337,"Katherine Applegate, Patricia Castelao",2012.0,The One and Only Ivan,eng
1048,108229,Sebastian Junger,1997.0,The Perfect Storm: A True Story of Men Against the Sea,eng
1049,68427,Brandon Sanderson,2005.0,"Elantris (Elantris, #1)",eng
1050,2118745,Patrick Ness,2008.0,"The Knife of Never Letting Go (Chaos Walking, #1)",eng
1051,33512,Jim Fergus,1998.0,One Thousand White Women: The Journals of May Dodd (One Thousand White Women#1),eng
1052,3720975,Jodi Picoult,2009.0,Handle with Care,eng
1053,5093,"Stephen King, Darrel Anderson",2004.0,"Song of Susannah (The Dark Tower, #6)",eng
1054,13125947,Ally Condie,2012.0,"Reached (Matched, #3)",
1055,14836,Salman Rushdie,1981.0,Midnight's Children,eng
1056,535441,Max Brooks,2004.0,The Zombie Survival Guide: Complete Protection from the Living Dead,eng
1057,5348,John Grisham,1999.0,The Testament,
1058,16331,Agatha Christie,1930.0,"Murder at the Vicarage (Miss Marple, #1)",eng
1059,227651,Margaret Peterson Haddix,1998.0,"Among the Hidden (Shadow Children, #1)",eng
1060,315425,Michael Pollan,2007.0,In Defense of Food: An Eater's Manifesto,eng
1061,703292,Elizabeth George Speare,1958.0,The Witch of Blackbird Pond,eng
1062,22918050,Kiera Cass,2015.0,"The Heir (The Selection, #4)",eng
1063,9419,Sophie Kinsella,2002.0,"Shopaholic Ties the Knot (Shopaholic, #3)",eng
1064,5890,"Wilkie Collins, Matthew Sweet",1859.0,The Woman in White,eng
1065,25735012,"Robert Galbraith, J.K. Rowling",2015.0,"Career of Evil (Cormoran Strike, #3)",eng
1066,5821978,Jenny Han,2009.0,"The Summer I Turned Pretty (Summer, #1)",eng
1067,6422,Janet Evanovich,1998.0,"Four to Score (Stephanie Plum, #4)",eng
1068,29209,James McBride,1996.0,The Color of Water: A Black Man's Tribute to His White Mother,eng
1069,6402364,"Steven D. Levitt, Stephen J. Dubner",2009.0,"SuperFreakonomics: Global Cooling, Patriotic Prostitutes And Why Suicide Bombers Should Buy Life Insurance",eng
1070,112750,Karen Marie Moning,2006.0,"Darkfever (Fever, #1)",eng
1071,234184,Terry Goodkind,1995.0,"Stone of Tears (Sword of Truth, #2)",eng
1072,7114761,Emily Giffin,2010.0,Heart of the Matter,eng
1073,5797,"William Makepeace Thackeray, John Carey",1847.0,Vanity Fair,eng
1074,4982,Kurt Vonnegut Jr.,1959.0,The Sirens of Titan,eng
1075,10625,"Stephen King, Dominique Dill",1992.0,Dolores Claiborne,fre
1076,25781157,Cynthia D'Aprix Sweeney,2016.0,The Nest,eng
1077,21326,"Bill Willingham, Lan Medina, Steve Leialoha, Craig Hamilton, James Jean",2001.0,"Fables, Vol. 1: Legends in Exile",eng
1078,1633,David    Allen,2001.0,Getting Things Done: The Art of Stress-Free Productivity,eng
1079,13103,James Redfield,1993.0,"The Celestine Prophecy (Celestine Prophecy, #1)",eng
1080,12294652,Huntley Fitzpatrick,2012.0,My Life Next Door,eng
1081,12959233,Ken Follett,2012.0,Winter of the World (The Century Trilogy #2),eng
1082,19288239,"Haruki Murakami, Philip Gabriel",2013.0,Colorless Tsukuru Tazaki and His Years of Pilgrimage,eng
1083,82970,Alice Sebold,1999.0,Lucky,eng
1084,59716,Virginia Woolf,1927.0,To the Lighthouse,eng
1085,105576,Chetan Bhagat,2004.0,Five Point Someone,eng
1086,30281,Laurell K. Hamilton,1993.0,"Guilty Pleasures (Anita Blake, Vampire Hunter, #1)",eng
1087,19057,Markus Zusak,2002.0,I Am the Messenger,eng
1088,31463,"Thomas Hardy, Rosemarie Morgan, Shannon Russell",1874.0,Far from the Madding Crowd,eng
1089,34507,Terry Pratchett,1987.0,"Equal Rites (Discworld, #3; Witches #1)",eng
1090,24800,Mark Z. Danielewski,2000.0,House of Leaves,eng
1091,85379,Patricia Cornwell,1993.0,"Cruel & Unusual (Kay Scarpetta, #4)",nl
1092,17288661,John Grisham,2013.0,Sycamore Row,eng
1093,8652190,"P.C. Cast, Kristin Cast",2011.0,"Awakened (House of Night, #8)",eng
1094,17150,Willa Cather,1918.0,My Ántonia,eng
1095,213753,Susan Beth Pfeffer,2006.0,"Life As We Knew It (Last Survivors, #1)",eng
1096,706,"Jon Stewart, Ben Karlin, David Javerbaum, Rich Bloomquist, Steve Bodow, Tim Carvell, Eric Drysdale, J.R. Havlan, Scott Jacobson, Tom Johnson, Rob Kutner, Chris Regan, Jason Reich, Jason Ross, Stephen Colbert, Samantha Bee, Rob Corddry, Brendan Hay, Ed Helms",2004.0,America (The Book): A Citizen's Guide to Democracy Inaction,eng
1097,89375,"Don Piper, Cecil Murphey",2004.0,90 Minutes in Heaven: A True Story of Death and Life,
1098,17407748,Nicholas Sparks,2012.0,The Longest Ride,eng
1099,57854,"Lao Tzu, Gia-Fu Feng, Jane English, Chungliang Al Huang, Rowena Pattee Kryder, Toinette Lippe",-300.0,Tao Te Ching,eng
1100,78983,Jeffrey Archer,1979.0,"Kane and Abel (Kane and Abel, #1)",eng
1101,1609451,Jodi Picoult,2008.0,Change of Heart,eng
1102,32370,Augusten Burroughs,2003.0,Dry,eng
1103,80568,James Patterson,2001.0,Sam's Letters to Jennifer,
1104,25644601,E.L. James,2015.0,"Grey (Fifty Shades, #4)",eng
1105,106,Frank Herbert,1969.0,Dune Messiah (Dune Chronicles #2),eng
1106,17267,C.S. Lewis,1945.0,The Great Divorce,eng
1107,80536,Jennifer Weiner,2004.0,Little Earthquakes,
1108,46306,"Hans Christian Andersen, Lily Owens, Arthur Rackham, Hans Richter",1835.0,The Complete Fairy Tales,eng
1109,6466909,Mark Cotta Vaz,2009.0,"New Moon: The Complete Illustrated Movie Companion (The Twilight Saga: The Official Illustrated Movie Companion, #2)",eng
1110,24445517,Colleen Hoover,2014.0,"Maybe Someday (Maybe, #1)",eng
1111,31101,Jane Green,1999.0,Mr. Maybe,eng
1112,77392,L.M. Montgomery,1915.0,"Anne of the Island (Anne of Green Gables, #3)",eng
1113,51893,"Friedrich Nietzsche, Walter Kaufmann",1883.0,Thus Spoke Zarathustra,eng
1114,156538,"Elizabeth Gaskell, Alan Shelston",1854.0,North and South,eng
1115,11330361,Jaycee Dugard,2011.0,A Stolen Life,eng
1116,7913305,Amish Tripathi,2010.0,"The Immortals of Meluha (Shiva Trilogy, #1)",eng
1117,8650,Michael Crichton,1995.0,"The Lost World (Jurassic Park, #2)",eng
1118,9593913,Lauren Oliver,2013.0,"Requiem (Delirium, #3)",eng
1119,13890,Robert Jordan,1996.0,"A Crown of Swords (Wheel of Time, #7)",eng
1120,21348,"Aesop, Laura Harris, Laura Gibbs",-560.0,Aesop's Fables,eng
1121,394535,Cormac McCarthy,1985.0,"Blood Meridian, or the Evening Redness in the West",eng
1122,12751687,Becca Fitzpatrick,2012.0,"Finale (Hush, Hush, #4)",eng
1123,13440,Stephen King,1985.0,Skeleton Crew,eng
1124,22206,Chuck Palahniuk,2002.0,Lullaby,
1125,6969361,Chetan Bhagat,2009.0,2 States: The Story of My Marriage,eng
1126,263145,"Matsuri Hino, Tomo Kimura",2005.0,"Vampire Knight, Vol. 1 (Vampire Knight, #1)",eng
1127,91478,Jim Butcher,2002.0,"Summer Knight (The Dresden Files, #4)",eng
1128,61975,"Anne McCaffrey, Teodor Panasiński",1968.0,"Dragonflight (Dragonriders of Pern, #1)",eng
1129,1081560,"John D. Rateliff, J.R.R. Tolkien",2007.0,"The History of the Hobbit, Part One: Mr. Baggins",eng
1130,17788401,Colleen Hoover,2014.0,Ugly Love,eng
1131,47401,Joanne Harris,1998.0,"Chocolat (Chocolat, #1)",eng
1132,293101,Jay Anson,1977.0,The Amityville Horror,eng
1133,11713,Michael Ondaatje,1992.0,The English Patient,
1134,13639050,Sylvain Reynard,2012.0,"Gabriel's Rapture (Gabriel's Inferno, #2)",eng
1135,11012,"James Joyce, Jeri Johnson",1914.0,Dubliners,eng
1136,5941033,Colum McCann,2009.0,Let the Great World Spin,eng
1137,227865,Eoin Colfer,2003.0,"The Eternity Code (Artemis Fowl, #3)",eng
1138,43933,Harlan Coben,2001.0,Tell No One,eng
1139,17660,Stephen King,1987.0,The Tommyknockers,eng
1140,5287473,Rachel Hawkins,2010.0,"Hex Hall (Hex Hall, #1)",eng
1141,13099738,Austin Kleon,2010.0,Steal Like an Artist: 10 Things Nobody Told You About Being Creative,eng
1142,816,Neal Stephenson,1999.0,Cryptonomicon,eng
1143,16102004,Christina Lauren,2013.0,"Beautiful Bastard (Beautiful Bastard, #1)",eng
1144,14249,Barbara Kingsolver,2000.0,Prodigal Summer,eng
1145,5204,Joyce Carol Oates,1996.0,We Were the Mulvaneys,eng
1146,102920,Scott McCloud,1993.0,Understanding Comics: The Invisible Art,eng
1147,7842288,"Kami Garcia, Margaret Stohl",2010.0,"Beautiful Darkness (Caster Chronicles, #2)",eng
1148,12391521,Jon Ronson,2011.0,The Psychopath Test: A Journey Through the Madness Industry,eng
1149,14865,Jodi Picoult,2005.0,Vanishing Acts,eng
1150,15159,David Baldacci,1995.0,Absolute Power,eng
1151,6858,Janet Evanovich,2000.0,"Hot Six (Stephanie Plum, #6)",eng
1152,13624688,Mitch Albom,2012.0,The Time Keeper,eng
1153,33456,Christopher Moore,2006.0,"A Dirty Job (Grim Reaper, #1)",eng
1154,1301,Michael   Lewis,2003.0,Moneyball: The Art of Winning an Unfair Game,eng
1155,334123,Jonathan Stroud,2003.0,"The Amulet of Samarkand (Bartimaeus, #1)",eng
1156,611298,"Stephen Colbert, Richard Dahm, Paul Dinello, Allison Silverman, Michael Brumm, Eric Drydale, Rob Dubbin, Glenn Eichler, Peter Grosz, Peter Gwinn, Jay Katsir, Laura Krafft, Frank Lesser, Tom Purcell",2007.0,I Am America (And So Can You!),eng
1157,763362,"Kenneth H. Blanchard, Spencer Johnson",1981.0,The One Minute Manager,eng
1158,42697,Leon Uris,1958.0,Exodus,eng
1159,77163,Ursula Hegi,1994.0,Stones from the River,eng
1160,2052,Raymond Chandler,1939.0,"The Big Sleep (Philip Marlowe, #1)",eng
1161,4799,John Steinbeck,1945.0,Cannery Row,eng
1162,11230081,Ellen DeGeneres,2011.0,Seriously... I'm Kidding,eng
1163,65119,"Lemony Snicket, Brett Helquist",2000.0,"The Miserable Mill (A Series of Unfortunate Events, #4)",eng
1164,11250053,Eowyn Ivey,2012.0,The Snow Child,eng
1165,17314430,"J. Lynn, Jennifer L. Armentrout",2013.0,"Wait for You (Wait for You, #1)",eng
1166,3293821,Jeff Kinney,2009.0,"The Last Straw (Diary of a Wimpy Kid, #3)",eng
1167,6656,"Dante Alighieri, Allen Mandelbaum, Eugenio Montale",1308.0,The Divine Comedy,eng
1168,48757,"Benjamin Hoff, Ernest H. Shepard",1982.0,The Tao of Pooh,eng
1169,13047090,Jennifer L. Armentrout,2012.0,"Onyx (Lux, #2)",eng
1170,13104080,Tahereh Mafi,2013.0,"Unravel Me (Shatter Me, #2)",eng
1171,28078,Sarah Dunant,2003.0,The Birth of Venus,eng
1172,114954,Eoin Colfer,2005.0,"The Opal Deception  (Artemis Fowl, #4)",eng
1173,25074850,"David Lagercrantz, Stieg Larsson, George Goulding",2015.0,"The Girl in the Spider's Web (Millennium, #4)",eng
1174,26893819,Emma Cline,2016.0,The Girls,eng
1175,179064,Shannon Hale,2003.0,"The Goose Girl (The Books of Bayern, #1)",eng
1176,21671,Dennis Lehane,2001.0,Mystic River,eng
1177,7619057,Isaac Marion,2010.0,"Warm Bodies (Warm Bodies, #1)",
1178,62446,"Mark Twain, Everett H. Emerson",1881.0,The Prince and the Pauper,eng
1179,16690,Robert A. Heinlein,1966.0,The Moon is a Harsh Mistress,eng
1180,6642715,"Elif Shafak, إليف شافاق, ارسلان فصیحی, محمد درويش",2010.0,The Forty Rules of Love,eng
1181,6423,Janet Evanovich,1999.0,"High Five (Stephanie Plum, #5)",eng
1182,13596166,Stephen King,2013.0,Joyland,eng
1183,13154150,"Hajime Isayama, Sheldon Drzka",2010.0,"Attack on Titan, Vol. 1 (Attack on Titan, #1)",eng
1184,46164,F. Scott Fitzgerald,1933.0,Tender Is the Night,eng
1185,306654,Olive Ann Burns,1984.0,Cold Sassy Tree,
1186,92517,Tennessee Williams,1945.0,The Glass Menagerie,eng
1187,13586707,"Elena Ferrante, Ann Goldstein",2011.0,My Brilliant Friend (The Neapolitan Novels #1),eng
1188,368593,Timothy Ferriss,2007.0,The 4-Hour Workweek,eng
1189,43877,Robin S. Sharma,1996.0,The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams  Reaching Your Destiny,eng
1190,10054335,Amor Towles,2011.0,Rules of Civility,eng
1191,61179,Larry Niven,1970.0,"Ringworld (Ringworld, #1)",eng
1192,7824322,Ruta Sepetys,2011.0,Between Shades of Gray,eng
1193,439173,"Andrew Clements, Brian Selznick",1996.0,Frindle,eng
1194,6578293,Jeff Kinney,2009.0,"Dog Days (Diary of a Wimpy Kid, #4)",eng
1195,13602426,Louise Erdrich,2012.0,The Round House,eng
1196,18130,Madeleine L'Engle,1973.0,"A Wind in the Door (A Wrinkle in Time Quintet, #2)",eng
1197,13615258,Veronica Roth,2012.0,"Free Four: Tobias Tells the Divergent Knife-Throwing Scene (Divergent, #1.5)",eng
1198,22822858,Hanya Yanagihara,2015.0,A Little Life,eng
1199,156534,"Brian K. Vaughan, Pia Guerra, José Marzán Jr.",2003.0,"Y: The Last Man, Vol. 1: Unmanned",eng
1200,10803121,Brandon Sanderson,2011.0,"The Alloy of Law (Mistborn, #4)",eng
1201,7981206,Charlaine Harris,2011.0,"Dead Reckoning (Sookie Stackhouse, #11)",eng
1202,60792,"Anne Tyler, Jennifer Bassett",1985.0,The Accidental Tourist,eng
1203,12000020,Benjamin Alire Sáenz,2012.0,"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe, #1)",
1204,17184,H.G. Wells,1897.0,The Invisible Man,eng
1205,10374,"Haruki Murakami, Alfred Birnbaum",1985.0,Hard-Boiled Wonderland and the End of the World,eng
1206,1428,"Paulo Coelho, Alan R. Clarke",1994.0,By the River Piedra I Sat Down and Wept,eng
1207,62111,"Johann David Wyss, Scott McKowen, Arthur Pober",1812.0,The Swiss Family Robinson  ,eng
1208,133266,Stephen King,1990.0,Four Past Midnight ,eng
1209,13486122,Jennifer Probst,2012.0,"The Marriage Bargain (Marriage to a Billionaire, #1)",eng
1210,77390,L.M. Montgomery,1909.0,"Anne of Avonlea (Anne of Green Gables, #2)",eng
1211,824204,"Watty Piper, Doris Hauman, George Hauman",1930.0,The Little Engine That Could,eng
1212,16176440,Karen Joy Fowler,2013.0,We Are All Completely Beside Ourselves,eng
1213,31360,Orson Scott Card,1996.0,"Children of the Mind (Ender's Saga, #4)",eng
1214,338798,James Joyce,1922.0,Ulysses,eng
1215,816953,Sarah Dessen,1998.0,Someone Like You,eng
1216,3273,Alan Brennert,2003.0,Moloka'i,eng
1217,11901,Anne Rice,1990.0,"The Witching Hour (Lives of the Mayfair Witches, #1)",eng
1218,17309,Frank E. Peretti,1986.0,"This Present Darkness (Darkness, #1)",eng
1219,16113791,Jessica Sorensen,2012.0,"The Coincidence of Callie & Kayden (The Coincidence, #1)",eng
1220,24612118,Lauren Groff,2015.0,Fates and Furies,eng
1221,22695,Judy Blume,1998.0,Summer Sisters,
1222,138959,"E.B. White, Garth Williams",1945.0,Stuart Little,eng
1223,46654,Isaac Asimov,1953.0,"The Foundation Trilogy (Foundation, #1-3)",eng
1224,771,Brian Greene,1999.0,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",eng
1225,131123,"Lemony Snicket, Brett Helquist",2000.0,"The Austere Academy (A Series of Unfortunate Events, #5)",eng
1226,6424,Janet Evanovich,2001.0,"Seven Up (Stephanie Plum, #7)",eng
1227,5391115,Kelley Armstrong,2009.0,"The Awakening (Darkest Powers, #2)",eng
1228,91479,Jim Butcher,2003.0,"Death Masks (The Dresden Files, #5)",eng
1229,786256,Janell Cannon,1993.0,Stellaluna,eng
1230,902715,Joe Abercrombie,2007.0,Before They Are Hanged (The First Law #2),eng
1231,898885,Nancy Horan,2007.0,Loving Frank,eng
1232,6425,"Janet Evanovich, Lorelei King",2002.0,"Hard Eight (Stephanie Plum, #8)",eng
1233,150037,"Lemony Snicket, Brett Helquist",2001.0,"The Vile Village (A Series of Unfortunate Events, #7)",eng
1234,67920,Flora Rheta Schreiber,1973.0,Sybil: The Classic True Story of a Woman Possessed by Sixteen Personalities,eng
1235,55030,Carl Sagan,1980.0,Cosmos,eng
1236,22288,Chuck Palahniuk,2005.0,Haunted,eng
1237,37095,Rosamunde Pilcher,1987.0,The Shell Seekers,eng
1238,4952,Dave Eggers,2006.0,What Is the What,eng
1239,23878,"Gabriel García Márquez, Gregory Rabassa",1981.0,Chronicle of a Death Foretold,eng
1240,1848444,"Ronald Holt, Arthur Conan Doyle",1891.0,"A Scandal in Bohemia (The Adventures of Sherlock Holmes, #1)",
1241,10587120,"Bill O'Reilly, Martin Dugard",2011.0,Killing Lincoln: The Shocking Assassination that Changed America Forever,eng
1242,17262100,Jhumpa Lahiri,2013.0,The Lowland,eng
1243,60400,John Flanagan,2004.0,"The Ruins of Gorlan (Ranger's Apprentice, #1)",eng
1244,5152478,Laurie Halse Anderson,2009.0,Wintergirls,eng
1245,5354,John Grisham,2000.0,The Brethren,
1246,45112,Robin Hobb,1997.0,"Assassin's Quest (Farseer Trilogy, #3)",eng
1247,228296,Ira Levin,1967.0,Rosemary's Baby,eng
1248,59219,"Stephen King, Peter Straub",1984.0,"The Talisman (The Talisman, #1)",eng
1249,140974,Robert Jordan,1998.0,"The Path of Daggers (Wheel of Time, #8)",eng
1250,412732,Jack Kerouac,1958.0,The Dharma Bums,eng
1251,6468666,Kelley Armstrong,2010.0,"The Reckoning (Darkest Powers, #3)",eng
1252,11869272,Katherine Boo,2012.0,"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity",eng
1253,152380,"P.L. Travers, Mary Shepard",1934.0,"Mary Poppins (Mary Poppins, #1)",eng
1254,887877,Scott Lynch,2007.0,"Red Seas Under Red Skies (Gentleman Bastard, #2)",eng
1255,139253,Sandra Cisneros,1984.0,The House on Mango Street,eng
1256,1971304,David Benioff,2008.0,City of Thieves,eng
1257,1421990,Jeaniene Frost,2007.0,"Halfway to the Grave (Night Huntress, #1)",eng
1258,31456,"Roald Dahl, Quentin Blake",1980.0,The Twits,eng
1259,334643,Garth Nix,2003.0,"Abhorsen (Abhorsen, #3)",eng
1260,7510,"James Patterson, Peter de Jonge",2002.0,The Beach House,eng
1261,10611,Stephen King,1987.0,The Eyes of the Dragon,eng
1262,112,Frank Herbert,1976.0,Children of Dune (Dune Chronicles #3),eng
1263,8855321,James S.A. Corey,2011.0,"Leviathan Wakes (The Expanse, #1)",eng
1264,18006496,Sarah J. Maas,2015.0,"Queen of Shadows (Throne of Glass, #4)",eng
1265,15197,Art Spiegelman,1991.0,"Maus II: A Survivor's Tale: And Here My Troubles Began (Maus, #2)",eng
1266,310258,Ezra Jack Keats,1962.0,The Snowy Day,eng
1267,40331,Janet Evanovich,2003.0,"To the Nines (Stephanie Plum, #9)",eng
1268,12987977,Emily Giffin,2012.0,Where We Belong,eng
1269,16213,Richard   Preston,1994.0,The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus,eng
1270,9557,"Haruki Murakami, Philip Gabriel",1999.0,Sputnik Sweetheart,eng
1271,17465453,Elizabeth Gilbert,2012.0,The Signature of All Things,eng
1272,8600,Lynne Truss,2003.0,"Eats, Shoots & Leaves: The Zero Tolerance Approach to Punctuation",eng
1273,30264,Kim Harrison,2004.0,"Dead Witch Walking (The Hollows, #1)",eng
1274,196970,"Clement C. Moore, Jan Brett",1986.0,The Night Before Christmas,eng
1275,2832909,Diana Gabaldon,2009.0,"An Echo in the Bone (Outlander, #7)",eng
1276,7488244,Cynthia Hand,2011.0,"Unearthly (Unearthly, #1)",eng
1277,73186,Lee Strobel,1988.0,The Case for Christ,
1278,13888,Robert Jordan,2005.0,"Knife of Dreams (Wheel of Time, #11)",eng
1279,13083,Carl Hiaasen,2002.0,Hoot,eng
1280,12914,"Virgil, Robert Fitzgerald",-17.0,The Aeneid,eng
1281,13503109,Junot Díaz,2012.0,This Is How You Lose Her,eng
1282,17803,"Haruki Murakami, Jay Rubin",2004.0,After Dark,eng
1283,227265,Daniel Quinn,1992.0,Ishmael:A Novel,eng
1284,6584188,Jenny Han,2010.0,"It's Not Summer Without You (Summer, #2)",eng
1285,10194514,Katie McGarry,2012.0,"Pushing the Limits (Pushing the Limits, #1)",eng
1286,111450,"Kennilworthy Whisp, J.K. Rowling",2001.0,Quidditch Through the Ages,eng
1287,147732,"Harry Allard, James  Marshall",1977.0,"Miss Nelson Is Missing! (Miss Nelson, #1)",eng
1288,9014,"Richard Bachman, Stephen King",1979.0,The Long Walk,eng
1289,172327,"Lemony Snicket, Brett Helquist",2001.0,"The Ersatz Elevator (A Series of Unfortunate Events, #6)",eng
1290,12930,Lois Lowry,2004.0,"Messenger (The Giver, #3)",eng
1291,42898,J.R. Ward,2007.0,"Lover Revealed (Black Dagger Brotherhood, #4)",eng
1292,5413,"Stephen King, Jerry N. Uelsmann",2005.0,'Salem's Lot,eng
1293,83369,"Trenton Lee Stewart, Carson Ellis",2007.0,"The Mysterious Benedict Society (The Mysterious Benedict Society, #1)",eng
1294,43369,Christopher Hitchens,2007.0,god is Not Great: How Religion Poisons Everything,eng
1295,17029526,Abbi Glines,2013.0,"Never Too Far (Rosemary Beach, #2; Too Far, #2)",eng
1296,15860,Michael Crichton,2004.0,State of Fear,eng
1297,10798416,Jennifer E. Smith,2012.0,The Statistical Probability of Love at First Sight,eng
1298,59263,Jonathan Stroud,2004.0,"The Golem's Eye (Bartimaeus, #2)",eng
1299,9566,Tom Robbins,1980.0,Still Life with Woodpecker,eng
1300,49465,Jenna Blum,2004.0,Those Who Save Us,eng
1301,1110,John Grisham,2005.0,The Broker,eng
1302,8235178,Beth Revis,2011.0,"Across the Universe (Across the Universe, #1)",eng
1303,347852,M. Scott Peck,1978.0,"The Road Less Traveled: A New Psychology of Love, Traditional Values, and Spiritual Growth",eng
1304,99383,Jim Butcher,2004.0,"Blood Rites (The Dresden Files, #6)",eng
1305,297249,"Gertrude Chandler Warner, L. Kate Deal",1942.0,"The Boxcar Children (The Boxcar Children, #1)",eng
1306,16171291,A.S.A. Harrison,2013.0,The Silent Wife,eng
1307,10600242,Caitlin Moran,2011.0,How to Be a Woman,eng
1308,17927395,Sarah J. Maas,2016.0,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",eng
1309,9439303,Keith Richards,2010.0,Life,eng
1310,85301,Jhumpa Lahiri,2008.0,Unaccustomed Earth,eng
1311,5191,Anita Shreve,1998.0,The Pilot's Wife,eng
1312,11762,Don DeLillo,1985.0,White Noise,eng
1313,42389,Stephen E. Ambrose,1992.0,"Band of Brothers: E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest",eng
1314,22463,Charles Darwin,1859.0,The Origin of Species,eng
1315,25179,Craig Thompson,2003.0,Blankets,eng
1316,2731276,David Wroblewski,2008.0,The Story of Edgar Sawtelle,eng
1317,5171,Christina Schwarz,2000.0,Drowning Ruth,eng
1318,51504,Charles Bukowski,1971.0,Post Office,eng
1319,469571,Cormac McCarthy,1992.0,"All the Pretty Horses (The Border Trilogy, #1)",eng
1320,3586,"Arthur Conan Doyle, Kyle Freeman",1914.0,"The Complete Sherlock Holmes, Vol 2",
1321,1237398,"Eiichirō Oda, Andy Nakatani",1997.0,"One Piece, Volume 01: Romance Dawn (One Piece, #1)",eng
1322,29127,Peter S. Beagle,1968.0,"The Last Unicorn (The Last Unicorn, #1)",eng
1323,769483,Angie Sage,2005.0,"Magyk (Septimus Heap, #1)",eng
1324,781110,Laurie Halse Anderson,2000.0,Fever 1793,eng
1325,1914973,Tana French,2008.0,"The Likeness (Dublin Murder Squad, #2)",eng
1326,22551730,Erik Larson,2015.0,Dead Wake: The Last Crossing of the Lusitania,eng
1327,77270,Rudyard Kipling,1894.0,The Jungle Book,eng
1328,18144124,Terry Hayes,2013.0,"I Am Pilgrim (Pilgrim, #1)",eng
1329,6295,"Allen Ginsberg, William Carlos Williams",1956.0,Howl and Other Poems,eng
1330,170548,Richard Carlson,1997.0,Don't Sweat the Small Stuff ... and it's all small stuff: Simple Ways to Keep the Little Things from Taking Over Your Life,eng
1331,11192642,"Adam Mansbach, Ricardo Cortés",2011.0,Go the Fuck to Sleep,eng
1332,360,Douglas Adams,1992.0,"Mostly Harmless (Hitchhiker's Guide to the Galaxy, #5)",eng
1333,10883,Walter Isaacson,2003.0,Benjamin Franklin: An American Life,eng
1334,8366402,Téa Obreht,2011.0,The Tiger's Wife,eng
1335,60510,Maria V. Snyder,2005.0,"Poison Study (Study, #1)",eng
1336,304027,J.R. Ward,2007.0,"Lover Unbound (Black Dagger Brotherhood, #5)",eng
1337,64222,Terry Pratchett,2004.0,"Going Postal (Discworld, #33; Moist von Lipwig, #1)",eng
1338,323355,"Anonymous, Joseph Smith Jr.",1830.0,The Book of Mormon: Another Testament of Jesus Christ,eng
1339,813214,Stephen King,1980.0,The Mist,eng
1340,17683,Jim Butcher,2005.0,"Dead Beat (The Dresden Files, #7)",eng
1341,18966819,Pierce Brown,2015.0,"Golden Son (Red Rising, #2)",eng
1342,47989,Terry Pratchett,2002.0,"Night Watch (Discworld, #29; City Watch, #6)",eng
1343,34506,Terry Pratchett,1986.0,"The Light Fantastic (Discworld, #2; Rincewind #2)",eng
1344,6516450,Malcolm Gladwell,2009.0,What the Dog Saw and Other Adventures,eng
1345,25574782,Karin Slaughter,2015.0,Pretty Girls,eng
1346,944076,Joe Abercrombie,2008.0,"Last Argument of Kings (The First Law, #3)",eng
1347,20926278,Stephen King,2014.0,Revival,eng
1348,7779,Dr. Seuss,1954.0,Horton Hears a Who!,eng
1349,817791,Michael   Lewis,2006.0,The Blind Side: Evolution of a Game,eng
1350,47624,Garth Nix,2001.0,"Lirael (Abhorsen, #2)",eng
1351,13139,James Patterson,2006.0,"School's Out—Forever (Maximum Ride, #2)",eng
1352,6690979,"Yana Toboso, Tomo Kimura",2007.0,"Black Butler, Vol. 1 (Black Butler, #1)",eng
1353,13206900,Marissa Meyer,2015.0,"Winter (The Lunar Chronicles, #4)",eng
